Customer ID,Gender,Affinity,Annual Spend,Loyalty Program Member,Response Channel,CLV
39808,M,Women's Sportwear,427.123,NO,Direct Mail,42712.3
67362,F,Women's Career,253.567,NO,Email,25356.7
10872,M,Women's Shoes,206.176,NO,Email,20617.6
26748,F,Men's Casual,236.883,NO,Mobile,23688.3
91609,M,Women's Shoes,188.133,YES,Mobile,18813.3
26630,F,Men's Sportswear,464.867,NO,Mobile,46486.7
62995,F,Men's Career,140.467,YES,Email,14046.7
38765,M,Home goods,222.034,YES,Email,22203.4
28935,F,Women's Sportwear,229.75,NO,Direct Mail,22975
41792,M,Women's Career,145.692,NO,Email,14569.2
59480,F,Women's Shoes,103.282,NO,Email,10328.2
60755,F,Men's Casual,137.796,YES,Email,13779.6
70998,M,Women's Shoes,365.09,YES,Mobile,36509
80617,F,Men's Sportswear,102.011,YES,Direct Mail,10201.1
61144,F,Men's Career,103.736,NO,Email,10373.6
36405,F,Home goods,348.222,YES,Direct Mail,34822.2
76567,M,Women's Sportwear,422.48,YES,Mobile,42248
85699,F,Women's Career,181.688,YES,Email,18168.8
11357,F,Women's Shoes,107.53,YES,Email,10753
97761,F,Men's Casual,323.184,YES,Mobile,32318.4
20362,M,Women's Shoes,317.2,YES,Email,31720
33173,F,Men's Sportswear,368.328,YES,Email,36832.8
69934,F,Men's Career,311.787,YES,Direct Mail,31178.7
14743,M,Home goods,216.813,YES,Email,21681.3
83071,M,Women's Sportwear,298.536,YES,Email,29853.6
17571,F,Women's Career,152.7,YES,Mobile,15270
37917,F,Women's Shoes,322.318,NO,Direct Mail,32231.8
11236,M,Men's Casual,425.669,YES,Mobile,42566.9
47914,F,Women's Shoes,445.913,YES,Email,44591.3
58154,M,Men's Sportswear,491.367,NO,Direct Mail,49136.7
35197,M,Men's Career,403.398,NO,Email,40339.8
64892,F,Home goods,389.995,YES,Email,38999.5
102467,F,Women's Sportwear,137.623,YES,Mobile,13762.3
56677,F,Women's Career,303.099,NO,Email,30309.9
94105,M,Women's Shoes,103.719,YES,Mobile,10371.9
63817,M,Men's Casual,291.748,YES,Direct Mail,29174.8
44887,M,Women's Shoes,468.983,YES,Mobile,46898.3
69720,F,Men's Sportswear,137.837,NO,Mobile,13783.7
97267,F,Men's Career,330.618,YES,Direct Mail,33061.8
53750,F,Home goods,385.113,YES,Direct Mail,38511.3
109530,M,Women's Sportwear,374.844,NO,Mobile,37484.4
65493,M,Women's Career,267.732,YES,Email,26773.2
96694,M,Women's Shoes,282.755,NO,Mobile,28275.5
46730,F,Men's Casual,416.178,NO,Mobile,41617.8
60499,M,Women's Shoes,118.442,YES,Email,11844.2
73004,M,Men's Sportswear,130.578,YES,Direct Mail,13057.8
21787,M,Men's Career,195.369,NO,Email,19536.9
28314,F,Home goods,388.062,YES,Mobile,38806.2
24651,F,Women's Sportwear,321.216,NO,Email,32121.6
29367,M,Women's Career,433.149,YES,Direct Mail,43314.9
15072,M,Women's Shoes,416.457,NO,Mobile,41645.7
33622,M,Men's Casual,392.378,NO,Email,39237.8
42167,F,Women's Shoes,106.201,NO,Mobile,10620.1
43550,M,Men's Sportswear,105.365,NO,Email,10536.5
18724,F,Men's Career,491.775,NO,Email,49177.5
91019,M,Home goods,484.029,YES,Mobile,48402.9
68193,F,Women's Sportwear,157.157,YES,Mobile,15715.7
35262,M,Women's Career,262.512,YES,Direct Mail,26251.2
93401,F,Women's Shoes,457.963,YES,Mobile,45796.3
15177,F,Men's Casual,247.919,NO,Mobile,24791.9
96173,F,Women's Shoes,263.483,NO,Mobile,26348.3
50180,M,Men's Sportswear,355.435,YES,Email,35543.5
31828,M,Men's Career,304.26,NO,Mobile,30426
62022,F,Home goods,427.131,NO,Email,42713.1
105225,M,Women's Sportwear,285.341,NO,Email,28534.1
64668,M,Women's Career,312.009,NO,Email,31200.9
53320,M,Women's Shoes,462.7,YES,Mobile,46270
15068,M,Men's Casual,178.948,YES,Direct Mail,17894.8
99849,F,Women's Shoes,370.252,YES,Email,37025.2
63694,F,Men's Sportswear,223.043,YES,Mobile,22304.3
24874,F,Men's Career,359.38,YES,Email,35938
104988,M,Home goods,243.263,NO,Email,24326.3
84902,M,Women's Sportwear,449.991,YES,Mobile,44999.1
96512,F,Women's Career,378.721,NO,Mobile,37872.1
99575,M,Women's Shoes,192.134,YES,Mobile,19213.4
33413,F,Men's Casual,379.016,NO,Email,37901.6
57678,M,Women's Shoes,476.595,NO,Direct Mail,47659.5
89425,M,Men's Sportswear,288.615,NO,Direct Mail,28861.5
60571,F,Men's Career,246.707,NO,Email,24670.7
76095,M,Home goods,280.024,YES,Direct Mail,28002.4
48247,F,Women's Sportwear,486.794,NO,Direct Mail,48679.4
88019,M,Women's Career,473.606,YES,Direct Mail,47360.6
30850,F,Women's Shoes,171.818,NO,Email,17181.8
66117,F,Men's Casual,254.945,NO,Direct Mail,25494.5
97377,F,Women's Shoes,282.63,NO,Mobile,28263
101722,M,Men's Sportswear,157.228,NO,Direct Mail,15722.8
43498,F,Men's Career,336.065,YES,Direct Mail,33606.5
44562,F,Home goods,135.32,YES,Direct Mail,13532
74710,F,Women's Sportwear,163.704,YES,Mobile,16370.4
85585,F,Women's Career,364.26,YES,Mobile,36426
97287,M,Women's Shoes,353.706,NO,Direct Mail,35370.6
19268,F,Men's Casual,250.55,YES,Email,25055
50150,F,Women's Shoes,395.248,NO,Email,39524.8
67455,F,Men's Sportswear,181.98,YES,Mobile,18198
16350,F,Men's Career,318.923,YES,Mobile,31892.3
42778,M,Home goods,352.808,YES,Email,35280.8
98181,F,Women's Sportwear,163.51,YES,Email,16351
106522,M,Women's Career,100.07,YES,Direct Mail,10007
36278,M,Women's Shoes,430.066,NO,Email,43006.6
26130,F,Men's Casual,126.214,NO,Direct Mail,12621.4
57851,F,Women's Shoes,295.62,YES,Email,29562
81971,M,Men's Sportswear,193.672,NO,Email,19367.2
57068,M,Men's Career,228.535,NO,Direct Mail,22853.5
69122,M,Home goods,320.161,YES,Mobile,32016.1
68489,F,Women's Sportwear,225.684,YES,Direct Mail,22568.4
46471,M,Women's Career,254.795,YES,Direct Mail,25479.5
88359,F,Women's Shoes,230.214,YES,Mobile,23021.4
44294,M,Men's Casual,385.314,NO,Email,38531.4
95604,M,Women's Shoes,235.058,NO,Direct Mail,23505.8
103596,F,Men's Sportswear,274.252,NO,Mobile,27425.2
103473,F,Men's Career,250.338,YES,Direct Mail,25033.8
94467,M,Home goods,189.589,YES,Email,18958.9
38097,M,Women's Sportwear,371.385,NO,Email,37138.5
49632,M,Women's Career,107.717,NO,Mobile,10771.7
82558,F,Women's Shoes,101.074,YES,Mobile,10107.4
50324,M,Men's Casual,201.004,YES,Email,20100.4
38468,F,Women's Shoes,427.908,YES,Mobile,42790.8
38055,F,Men's Sportswear,144.497,YES,Mobile,14449.7
74876,M,Men's Career,182.937,YES,Email,18293.7
18079,M,Home goods,248.16,YES,Mobile,24816
16316,M,Women's Sportwear,391.701,NO,Direct Mail,39170.1
37166,F,Women's Career,164.835,NO,Mobile,16483.5
18334,F,Women's Shoes,424.343,NO,Email,42434.3
102645,F,Men's Casual,134.218,YES,Mobile,13421.8
101100,M,Women's Shoes,189.591,YES,Mobile,18959.1
64861,M,Men's Sportswear,187.711,YES,Email,18771.1
19041,F,Men's Career,146.823,NO,Mobile,14682.3
85771,F,Home goods,100.455,NO,Mobile,10045.5
79303,M,Women's Sportwear,396.497,NO,Email,39649.7
92675,F,Women's Career,445.153,NO,Direct Mail,44515.3
71690,F,Women's Shoes,136.361,NO,Email,13636.1
86350,F,Men's Casual,121.84,NO,Mobile,12184
88260,F,Women's Shoes,297.785,NO,Mobile,29778.5
86759,F,Men's Sportswear,484.566,NO,Mobile,48456.6
49861,M,Men's Career,388.491,YES,Email,38849.1
21543,F,Home goods,139.176,NO,Direct Mail,13917.6
70481,M,Women's Sportwear,317.001,YES,Direct Mail,31700.1
29944,M,Women's Career,428.985,NO,Email,42898.5
46054,M,Women's Shoes,142.814,NO,Mobile,14281.4
61329,F,Men's Casual,269.282,YES,Mobile,26928.2
24566,F,Women's Shoes,394.489,YES,Mobile,39448.9
58768,F,Men's Sportswear,180.798,YES,Direct Mail,18079.8
71343,M,Men's Career,482.751,YES,Email,48275.1
55418,F,Home goods,208.812,YES,Mobile,20881.2
18228,M,Women's Sportwear,317.275,NO,Email,31727.5
37305,M,Women's Career,339.607,NO,Mobile,33960.7
30243,M,Women's Shoes,303.916,YES,Email,30391.6
59599,F,Men's Casual,274.881,YES,Email,27488.1
61869,M,Women's Shoes,318.011,NO,Email,31801.1
10360,M,Men's Sportswear,274.012,NO,Direct Mail,27401.2
83338,M,Men's Career,262.061,NO,Email,26206.1
39080,F,Home goods,183.878,YES,Mobile,18387.8
84799,M,Women's Sportwear,313.192,YES,Mobile,31319.2
51979,M,Women's Career,205.285,YES,Mobile,20528.5
40505,F,Women's Shoes,430.394,NO,Mobile,43039.4
37098,F,Men's Casual,266.378,YES,Mobile,26637.8
29524,F,Women's Shoes,107.127,YES,Email,10712.7
63452,M,Men's Sportswear,178.916,NO,Email,17891.6
20158,M,Men's Career,237.441,YES,Direct Mail,23744.1
70182,F,Home goods,113.005,YES,Mobile,11300.5
56034,M,Women's Sportwear,412.711,NO,Email,41271.1
44235,F,Women's Career,277.268,YES,Email,27726.8
96881,M,Women's Shoes,146.112,YES,Mobile,14611.2
27166,F,Men's Casual,134.513,YES,Email,13451.3
39884,M,Women's Shoes,312.737,NO,Email,31273.7
95141,F,Men's Sportswear,453.427,YES,Mobile,45342.7
28110,M,Men's Career,276.974,YES,Mobile,27697.4
85259,F,Home goods,409.303,YES,Mobile,40930.3
14996,M,Women's Sportwear,222.591,YES,Email,22259.1
55652,M,Women's Career,417.166,NO,Mobile,41716.6
43964,F,Women's Shoes,294.585,NO,Email,29458.5
51183,F,Men's Casual,223.157,NO,Email,22315.7
29310,M,Women's Shoes,498.459,YES,Email,49845.9
21187,F,Men's Sportswear,205.744,YES,Direct Mail,20574.4
83536,F,Men's Career,319.368,NO,Email,31936.8
95887,M,Home goods,431.964,NO,Email,43196.4
88176,F,Women's Sportwear,345.366,YES,Mobile,34536.6
65418,F,Women's Career,386.017,YES,Email,38601.7
27766,F,Women's Shoes,400.773,NO,Mobile,40077.3
66191,F,Men's Casual,375.233,NO,Email,37523.3
108764,M,Women's Shoes,446.294,YES,Email,44629.4
12782,F,Men's Sportswear,313.296,NO,Direct Mail,31329.6
75118,F,Men's Career,317.774,YES,Direct Mail,31777.4
58188,M,Home goods,360.631,NO,Mobile,36063.1
95479,M,Women's Sportwear,457.417,NO,Direct Mail,45741.7
59439,M,Women's Career,207.784,YES,Email,20778.4
104903,F,Women's Shoes,344.437,NO,Email,34443.7
44825,F,Men's Casual,369.448,NO,Mobile,36944.8
71887,M,Women's Shoes,300.67,NO,Email,30067
18708,F,Men's Sportswear,307.868,YES,Email,30786.8
74423,F,Men's Career,223.177,YES,Email,22317.7
97967,F,Home goods,115.144,NO,Email,11514.4
20386,F,Women's Sportwear,398.296,YES,Direct Mail,39829.6
77218,M,Women's Career,382.717,NO,Mobile,38271.7
80137,F,Women's Shoes,128.47,NO,Email,12847
84092,F,Men's Casual,348.497,NO,Mobile,34849.7
58914,F,Women's Shoes,289.163,YES,Mobile,28916.3
16287,F,Men's Sportswear,425.534,NO,Email,42553.4
86044,M,Men's Career,305.434,NO,Mobile,30543.4
36927,M,Home goods,201.812,NO,Direct Mail,20181.2
93304,M,Women's Sportwear,424.567,NO,Mobile,42456.7
66988,M,Women's Career,179.591,YES,Mobile,17959.1
55091,M,Women's Shoes,402.274,NO,Email,40227.4
64215,M,Men's Casual,170.993,NO,Email,17099.3
28629,M,Women's Shoes,448.107,NO,Email,44810.7
98383,M,Men's Sportswear,338.642,NO,Email,33864.2
107505,F,Men's Career,213.633,YES,Email,21363.3
99578,M,Home goods,157.681,NO,Mobile,15768.1
28979,F,Women's Sportwear,358.494,YES,Direct Mail,35849.4
102733,F,Women's Career,285.154,NO,Email,28515.4
81690,F,Women's Shoes,373.617,NO,Mobile,37361.7
25405,M,Men's Casual,364.166,NO,Mobile,36416.6
85348,F,Women's Shoes,402.677,YES,Direct Mail,40267.7
19915,F,Men's Sportswear,400.868,NO,Email,40086.8
99387,F,Men's Career,106.184,NO,Email,10618.4
32380,F,Home goods,111.224,YES,Mobile,11122.4
39914,F,Women's Sportwear,367.285,YES,Mobile,36728.5
57952,F,Women's Career,351.487,NO,Direct Mail,35148.7
64239,M,Women's Shoes,275.083,YES,Mobile,27508.3
38014,F,Men's Casual,233.31,NO,Direct Mail,23331
21875,F,Women's Shoes,107.267,NO,Email,10726.7
37939,M,Men's Sportswear,497.316,YES,Mobile,49731.6
109061,F,Men's Career,373.485,NO,Email,37348.5
100754,F,Home goods,113.294,NO,Direct Mail,11329.4
28313,F,Women's Sportwear,348.889,NO,Email,34888.9
82753,F,Women's Career,375.762,YES,Direct Mail,37576.2
105412,M,Women's Shoes,183.099,NO,Email,18309.9
42583,F,Men's Casual,356.757,YES,Email,35675.7
89233,F,Women's Shoes,376.838,YES,Mobile,37683.8
76777,F,Men's Sportswear,437.48,NO,Mobile,43748
16220,M,Men's Career,347.872,NO,Direct Mail,34787.2
17864,F,Home goods,356.562,NO,Direct Mail,35656.2
87270,M,Women's Sportwear,314.868,NO,Direct Mail,31486.8
34593,M,Women's Career,358.231,YES,Mobile,35823.1
67697,M,Women's Shoes,129.477,NO,Mobile,12947.7
32302,F,Men's Casual,338.303,YES,Mobile,33830.3
15663,F,Women's Shoes,451.901,YES,Mobile,45190.1
108601,M,Men's Sportswear,141.216,NO,Email,14121.6
55951,M,Men's Career,156.793,NO,Mobile,15679.3
39817,F,Home goods,132.005,YES,Email,13200.5
19613,F,Women's Sportwear,461.507,YES,Mobile,46150.7
71600,M,Women's Career,473.234,NO,Direct Mail,47323.4
96561,M,Women's Shoes,303.759,NO,Mobile,30375.9
90861,F,Men's Casual,382.559,YES,Email,38255.9
68501,F,Women's Shoes,153.726,NO,Direct Mail,15372.6
30132,M,Men's Sportswear,239.357,NO,Email,23935.7
78639,M,Men's Career,320.691,NO,Email,32069.1
46419,F,Home goods,453.239,NO,Mobile,45323.9
50633,M,Women's Sportwear,230.638,YES,Direct Mail,23063.8
11553,M,Women's Career,151.133,NO,Email,15113.3
65853,M,Women's Shoes,206.815,YES,Email,20681.5
47547,F,Men's Casual,428.159,YES,Email,42815.9
38360,F,Women's Shoes,350.157,YES,Email,35015.7
107728,F,Men's Sportswear,169.603,NO,Direct Mail,16960.3
30390,M,Men's Career,266.278,YES,Email,26627.8
75815,F,Home goods,191.927,YES,Mobile,19192.7
106288,F,Women's Sportwear,100.926,YES,Direct Mail,10092.6
88596,F,Women's Career,341.082,NO,Email,34108.2
93469,M,Women's Shoes,327.656,NO,Direct Mail,32765.6
34756,F,Men's Casual,152.704,YES,Mobile,15270.4
12584,F,Women's Shoes,466.323,YES,Mobile,46632.3
107080,F,Men's Sportswear,294.064,NO,Mobile,29406.4
73651,M,Men's Career,141.309,YES,Email,14130.9
54180,M,Home goods,430.372,NO,Email,43037.2
45102,M,Women's Sportwear,325.518,NO,Email,32551.8
85475,M,Women's Career,370.037,YES,Mobile,37003.7
78363,M,Women's Shoes,494.132,YES,Mobile,49413.2
23718,M,Men's Casual,378.611,YES,Direct Mail,37861.1
54152,M,Women's Shoes,205.95,YES,Mobile,20595
93963,M,Men's Sportswear,491.922,YES,Mobile,49192.2
35561,M,Men's Career,344.236,YES,Email,34423.6
30371,F,Home goods,308.872,YES,Mobile,30887.2
93669,F,Women's Sportwear,277.032,NO,Direct Mail,27703.2
70858,M,Women's Career,209.462,YES,Email,20946.2
103147,M,Women's Shoes,438.622,YES,Mobile,43862.2
80198,F,Men's Casual,342.67,NO,Mobile,34267
42459,F,Women's Shoes,326.446,YES,Mobile,32644.6
36631,M,Men's Sportswear,270.515,YES,Email,27051.5
43800,F,Men's Career,442.831,YES,Mobile,44283.1
60240,M,Home goods,219.871,YES,Email,21987.1
29640,F,Women's Sportwear,285.955,NO,Email,28595.5
109000,F,Women's Career,149.647,YES,Email,14964.7
108739,M,Women's Shoes,109.737,NO,Email,10973.7
104165,M,Men's Casual,322.963,NO,Mobile,32296.3
73630,F,Women's Shoes,104.506,NO,Mobile,10450.6
25765,F,Men's Sportswear,356.814,YES,Direct Mail,35681.4
84903,F,Men's Career,328.053,NO,Mobile,32805.3
99347,F,Home goods,346.651,YES,Mobile,34665.1
41157,F,Women's Sportwear,202.332,NO,Email,20233.2
20325,M,Women's Career,153.56,YES,Mobile,15356
71462,F,Women's Shoes,409.979,YES,Mobile,40997.9
91928,F,Men's Casual,123.639,NO,Mobile,12363.9
80306,F,Women's Shoes,319.965,NO,Email,31996.5
78113,F,Men's Sportswear,143.918,YES,Email,14391.8
95488,F,Men's Career,119.753,NO,Mobile,11975.3
27720,F,Home goods,374.582,NO,Mobile,37458.2
76264,M,Women's Sportwear,159.9,NO,Direct Mail,15990
38477,M,Women's Career,138.168,YES,Email,13816.8
43557,F,Women's Shoes,245.056,YES,Email,24505.6
10609,F,Men's Casual,142.389,NO,Direct Mail,14238.9
73259,F,Women's Shoes,168.793,NO,Mobile,16879.3
18920,M,Men's Sportswear,453.683,NO,Email,45368.3
39581,F,Men's Career,292.526,YES,Email,29252.6
14912,M,Home goods,391.559,YES,Direct Mail,39155.9
80438,M,Women's Sportwear,158.347,NO,Mobile,15834.7
81034,M,Women's Career,209.511,YES,Direct Mail,20951.1
89250,F,Women's Shoes,436.042,NO,Email,43604.2
96982,M,Men's Casual,154.964,YES,Mobile,15496.4
89872,F,Women's Shoes,156.822,YES,Mobile,15682.2
71140,M,Men's Sportswear,220.941,YES,Mobile,22094.1
83650,F,Men's Career,335.584,YES,Email,33558.4
14891,F,Home goods,183.91,NO,Email,18391
83523,M,Women's Sportwear,458.037,NO,Email,45803.7
48896,F,Women's Career,304.368,YES,Email,30436.8
68438,F,Women's Shoes,234.241,YES,Email,23424.1
86681,F,Men's Casual,150.004,NO,Direct Mail,15000.4
66267,F,Women's Shoes,156.86,NO,Email,15686
87975,F,Men's Sportswear,278.2,NO,Mobile,27820
39970,M,Men's Career,467.406,YES,Direct Mail,46740.6
104111,F,Home goods,274.529,YES,Mobile,27452.9
92209,F,Women's Sportwear,309.04,YES,Direct Mail,30904
66711,F,Women's Career,414.07,NO,Email,41407
102215,M,Women's Shoes,131.647,YES,Email,13164.7
34750,F,Men's Casual,219.036,NO,Mobile,21903.6
62060,M,Women's Shoes,407.025,YES,Mobile,40702.5
25524,M,Men's Sportswear,459.486,NO,Mobile,45948.6
45992,F,Men's Career,136.452,YES,Email,13645.2
47341,M,Home goods,319.765,NO,Mobile,31976.5
67799,F,Women's Sportwear,169.724,NO,Mobile,16972.4
47136,F,Women's Career,220.32,NO,Email,22032
17375,M,Women's Shoes,127.641,YES,Direct Mail,12764.1
40789,F,Men's Casual,111.86,NO,Email,11186
